"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout","haunches","time_to_emerge_s","emerge_max","arena_entry","bait_eaten_g","obs_id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","trap_session_date","trap_session_morning","session_desc","min_temp","moon_phase","first_light","capture_date","new_animal","ssr","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","pouch","teeth_colour","teeth_sharpness","teeth_shine","age_estimate","pes_mean_mm","head_length_mm","sex","morph","time_processtoassay","time_assaytolight"
"1",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_2",-1.280317899865,"891E8","Initial assay","1","G78","Quollosseum",2024-01-19 04:33:32,"2024-01-19 04:34:38",65.9999999999983,60,"P",8,"GoorooyarrooA_2_891E8",0,0,33,110,118,6,0,5,12,17,10,0,0,114.784,302.62,202.478,36.439,0,156.155,68.468,108.743,866.591,44,267,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 02:49:00",2024-01-19 02:57:18,1,1,1,"Excellent",0.94,"1 (adult)","White","Sharp","Shiny","1-2yrs",54,86.9,"F","Black",-0.575597058672916,-0.792652786155452
"2",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_3",-1.280317899865,"461D6","Initial assay","1","G79","Aquollpolis",2024-01-19 04:38:27,"2024-01-19 04:39:08",41,41,"E",5,"GoorooyarrooA_3_461D6",6,2,14,57,65,3,0,4,9,11,5,7.519,70.08,93.834,177.494,162.605,175.558,0,203.676,298.671,130.75,566.875,29,147,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 03:06:00",2024-01-19 03:13:37,1,1,1,"Good",0.92,"1 (adult)","White","Sharp","Shiny","1-2yrs",54.95,87.8,"F","Black",-0.752962101755113,-0.830400722520876
"3",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_4",-1.280317899865,"5FA46","Initial assay","1","G58","Quollympia",2024-01-19 04:42:39,"2024-01-19 04:43:17",37.9999999999995,37.9999999999995,"E",0,"GoorooyarrooA_4_5FA46",33,0,38,116,116,4,0,11,15,8,3,17.479,0,94.316,385.735,113.512,15.64,0,960.111,107.465,61.232,71.637,37,307,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 03:20:00",2024-01-19 03:31:38,1,1,2,"Excellent",1.15,"2","White","Sharp","Shiny","1-2yrs",53.15,93.1,"F","Black",-0.967926459525788,-0.862646417314391
"4",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_5",-0.895716475399628,"87148","Initial assay","1","G78","Quollosseum",2024-01-19 05:17:29,"2024-01-19 05:17:29",0,0,"E",1,"GoorooyarrooA_5_87148",39,0,76,135,185,20,0,15,26,28,16,16.356,0,268.491,272.682,222.002,109.632,0,403.025,220.255,185.894,389.424,85,455,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 03:35:00",2024-01-19 03:41:50,1,2,2,"Excellent",1.39,NA,"White","Blunt","Shiny","1-2yrs",61.5,97.3,"M","Black",-0.584672755321858,-1.13008094953045
"5",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_6",-0.895716475399628,"C5DDC","Initial assay","1","G40","Aquollpolis",2024-01-19 05:21:11,"2024-01-19 05:21:11",0,0,"E",1,"GoorooyarrooA_6_C5DDC",16,1,35,93,135,16,0,5,11,12,6,6.996,0.2,141.146,267.874,145.52,147.427,0,140.195,84.909,462.829,512.034,34,296,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 04:17:00",2024-01-19 04:24:29,1,1,2,"Excellent",1.57,NA,"White","Sharp","Shiny","1-2yrs",60.75,94.2,"M","Black",-1.1906699858527,-1.15848787113426
"6",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_7",-0.703415763166939,"87F61","Initial assay","1","G70","Quollympia",2024-01-19 05:24:55,"2024-01-19 05:24:55",0,0,"E",2,"GoorooyarrooA_7_87F61",17,0,79,153,203,3,0,22,34,26,12,17.598,0,199.215,249.563,274.958,5.32,0,293.338,244.966,171.414,490.189,94,455,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 03:38:00",2024-01-19 03:50:25,1,1,1,"Good",1.41,NA,"White","Sharp","Shiny","1-2yrs",62.65,103.6,"M","Black",-0.602564843001203,-1.18715071095071
"7",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_8",-0.703415763166939,"83712","Initial assay","1","G28","Quollosseum",2024-01-19 05:52:16,"2024-01-19 05:52:20",3.99999999999743,3.99999999999743,"E",0,"GoorooyarrooA_8_83712",52,0,88,116,180,14,0,8,17,18,9,28.036,0,207.734,226.912,144.028,76.44,0,377.472,312.944,209.704,297.991,52,450,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 04:04:00",2024-01-19 04:16:23,1,1,1,"Good",1.62,NA,"White","Blunt","Shiny","1-2yrs",61.3,101.2,"M","Black",-0.581042476662281,-1.39713160442753
"8",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_9",-0.703415763166939,"5FC08","Initial assay","1","G30","Aquollpolis",2024-01-19 05:58:36,"2024-01-19 05:59:11",34.9999999999991,34.9999999999991,"P",0,"GoorooyarrooA_9_5FC08",16,0,70,107,127,19,0,9,16,15,8,4.279,0,230.729,173.96,91.116,92.353,0,272.991,108.864,92.025,726.073,48,339,2024-01-18,2024-01-19,"GS behavioural assays",12.1,-1.44453933757443,2024-01-19 05:38:00,2024-01-19,"Yes","No","2024-01-19 05:42:00",2024-01-19 05:48:01,1,1,1,"Excellent",0.95,"1 (adult)","White","Sharp","Shiny","1-2yrs",53.3,89.3,"F","Black",-1.90816863235627,-1.44575606483045
"9",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_4",-0.318814338701563,"6D409","Initial assay","1","G32","Quollosseum",2024-02-16 02:26:28,"2024-02-16 02:26:30",1.99999999999991,1.99999999999991,"E",0,"GoorooyarrooB_4_6D409",3,0,9,31,32,3,0,4,5,3,1,0.96,0,37.798,142.512,28.154,856.44,0,1016.997,68.875,63.117,50.999,13,78,2024-02-15,2024-02-16,"GS behavioural assays",16,-1.78790924603458,2024-02-16 06:10:00,2024-02-15,"Yes","No","2024-02-15 23:52:00",2024-02-16 00:04:05,1,1,1,"Excellent",0.89,"0 (immature)","WHITE","SHARP","SHINY","<1yr",52.65,90.5,"F","Black",0.142420199067734,0.428588924595757
"10",2023-09-26,"Goorooyarroo","BAM_GS_2023SPRA","GoorooSept_1",-1.08801718763232,"53328","Initial assay","1","G33","Quollosseum",2023-09-26 00:19:08,"2023-09-26 00:20:23",75,60,"P",0,"GS_Sept23_53328",1,0,1,8,14,0,0,1,1,1,1,0.24,0,2.24,198.799,9.919,0,0,89.199,0.919,4.279,1105.6,4,24,2023-09-25,2023-09-26,"GS bettong monitoring Spring + EQ behavioural Assays",5.5,-0.170277071050912,2023-09-26 05:22:00,2023-09-25,"No","No","2023-09-25 23:27:00",2023-09-25 23:32:00,1,1,1,"Good",1.37,NA,"White","Sharp","Shiny","1-2yrs",55.3,98.3,"M","Black",-1.33951141089536,1.03767427069548
